Satellite passes / Orbitron 3.71 / www.stoff.pl

Location      : HN (105.5239° E, 20.9798° N)
Time zone     : UTC +7:00
Search period : 2023-11-06 08:18:48 - 1 days
                2023-11-07 08:18:48
Conditions    : Maximum sun elevation = None
                Minimum sat elevation = 15 deg
                Illumination NOT required

Time                Satellite              Azm  Elv  Mag Range S.Azm S.Elv
2023-11-07 09:04:30 YAOGAN-30 H          145.7 41.8  ecl  1900 142.2  44.7
2023-11-07 09:07:48 YAOGAN-30 H           79.3 15.0  ecl  1900 142.2  44.7

2023-11-07 09:08:53 YAOGAN-36 01B        305.2 15.0  ecl  1900 142.2  44.7
2023-11-07 09:10:32 YAOGAN-36 01B        339.9 19.7  ecl  1900 142.2  44.7
2023-11-07 09:12:11 YAOGAN-36 01B         14.6 15.0  ecl  1900 142.2  44.7

2023-11-07 09:21:51 CBERS-4               78.0 15.0  ecl  1900 142.2  44.7
2023-11-07 09:23:15 CBERS-4               97.3 16.6  ecl  1900 142.2  44.7
2023-11-07 09:24:38 CBERS-4              116.5 15.0  ecl  1900 142.2  44.7

2023-11-07 09:24:03 57429_OBJECT F        76.4 15.0  ecl  1900 142.2  44.7
2023-11-07 09:25:05 57429_OBJECT F        97.3 16.6  ecl  1900 142.2  44.7
2023-11-07 09:26:07 57429_OBJECT F       118.1 15.0  ecl  1900 142.2  44.7

2023-11-07 09:24:40 57426_OBJECT C        76.5 15.0  ecl  1900 142.2  44.7
2023-11-07 09:25:41 57426_OBJECT C        97.3 16.6  ecl  1900 142.2  44.7
2023-11-07 09:26:42 57426_OBJECT C       118.0 15.0  ecl  1900 142.2  44.7

2023-11-07 09:26:42 HAIYANG 1C            51.3 15.0  ecl  1900 142.2  44.7
2023-11-07 09:29:51 HAIYANG 1C            98.7 26.1  ecl  1900 142.2  44.7
2023-11-07 09:33:01 HAIYANG 1C           146.1 15.0  ecl  1900 142.2  44.7

2023-11-07 09:37:46 YAOGAN-36 01C        280.3 15.0  ecl  1900 142.2  44.7
2023-11-07 09:40:19 YAOGAN-36 01C        336.2 30.3  ecl  1900 142.2  44.7
2023-11-07 09:42:52 YAOGAN-36 01C         32.1 15.0  ecl  1900 142.2  44.7

2023-11-07 09:41:24 YAOGAN-30 AA         233.1 15.0  ecl  1900 142.2  44.7
2023-11-07 09:44:59 YAOGAN-30 AA         148.5 76.5  ecl  1900 142.2  44.7
2023-11-07 09:48:35 YAOGAN-30 AA          63.9 15.0  ecl  1900 142.2  44.7

2023-11-07 09:42:54 57428_OBJECT E        42.4 15.0  ecl  1900 142.2  44.7
2023-11-07 09:45:16 57428_OBJECT E        98.9 30.7  ecl  1900 142.2  44.7
2023-11-07 09:47:38 57428_OBJECT E       155.4 15.0  ecl  1900 142.2  44.7

2023-11-07 10:04:14 ZY-1 02E              57.4 15.0  ecl  1900 142.2  44.7
2023-11-07 10:07:01 ZY-1 02E              98.4 22.8  ecl  1900 142.2  44.7
2023-11-07 10:09:48 ZY-1 02E             139.3 15.0  ecl  1900 142.2  44.7

2023-11-07 10:20:37 57425_OBJECT B       357.1 15.0  ecl  1900 142.2  44.7
2023-11-07 10:23:27 57425_OBJECT B       282.6 53.3  ecl  1900 142.2  44.7
2023-11-07 10:26:16 57425_OBJECT B       208.1 15.0  ecl  1900 142.2  44.7

2023-11-07 10:38:54 57427_OBJECT D       335.8 15.0  ecl  1900 142.2  44.7
2023-11-07 10:41:10 57427_OBJECT D       284.3 27.6  ecl  1900 142.2  44.7
2023-11-07 10:43:26 57427_OBJECT D       232.7 15.0  ecl  1900 142.2  44.7

2023-11-07 10:39:16 YAOGAN-30 K          269.9 15.0  ecl  1900 142.2  44.7
2023-11-07 10:42:34 YAOGAN-30 K          335.1 39.6  ecl  1900 142.2  44.7
2023-11-07 10:45:52 YAOGAN-30 K           40.4 15.0  ecl  1900 142.2  44.7

2023-11-07 10:43:07 YAOGAN-35 B          321.6 15.0  ecl  1900 142.2  44.7
2023-11-07 10:44:14 YAOGAN-35 B          343.1 16.7  ecl  1900 142.2  44.7
2023-11-07 10:45:22 YAOGAN-35 B            4.5 15.0  ecl  1900 142.2  44.7

2023-11-07 10:43:15 YAOGAN-30 H          274.0 15.0  ecl  1900 142.2  44.7
2023-11-07 10:46:26 YAOGAN-30 H          335.9 36.1  ecl  1900 142.2  44.7
2023-11-07 10:49:38 YAOGAN-30 H           37.9 15.0  ecl  1900 142.2  44.7

2023-11-07 10:46:09 57424_OBJECT A       324.7 15.0  ecl  1900 142.2  44.7
2023-11-07 10:48:01 57424_OBJECT A       285.1 21.7  ecl  1900 142.2  44.7
2023-11-07 10:49:52 57424_OBJECT A       245.4 15.0  ecl  1900 142.2  44.7

2023-11-07 10:57:50 57429_OBJECT F       296.1 15.0  ecl  1900 142.2  44.7
2023-11-07 10:58:20 57429_OBJECT F       286.1 15.4  ecl  1900 142.2  44.7
2023-11-07 10:58:50 57429_OBJECT F       276.1 15.0  ecl  1900 142.2  44.7

2023-11-07 10:58:22 57426_OBJECT C       296.2 15.0  ecl  1900 142.2  44.7
2023-11-07 10:58:52 57426_OBJECT C       286.1 15.4  ecl  1900 142.2  44.7
2023-11-07 10:59:23 57426_OBJECT C       276.1 15.0  ecl  1900 142.2  44.7

2023-11-07 10:58:41 CBERS-4              344.4 15.0  ecl  1900 142.2  44.7
2023-11-07 11:02:19 CBERS-4              286.0 34.5  ecl  1900 142.2  44.7
2023-11-07 11:05:57 CBERS-4              227.5 15.0  ecl  1900 142.2  44.7

2023-11-07 11:06:06 HAIYANG 1C           327.6 15.0  ecl  1900 142.2  44.7
2023-11-07 11:08:51 HAIYANG 1C           287.6 22.7  ecl  1900 142.2  44.7
2023-11-07 11:11:37 HAIYANG 1C           247.6 15.0  ecl  1900 142.2  44.7

2023-11-07 11:17:47 YUNHAI 2 3           347.5 15.0  ecl  1900 142.2  44.7
2023-11-07 11:21:37 YUNHAI 2 3            43.3 31.7  ecl  1900 142.2  44.7
2023-11-07 11:25:27 YUNHAI 2 3            99.0 15.0  ecl  1900 142.2  44.7

2023-11-07 11:21:37 YAOGAN-31 E           21.0 15.0  ecl  1900 142.2  44.7
2023-11-07 11:25:07 YAOGAN-31 E           55.8 20.9  ecl  1900 142.2  44.7
2023-11-07 11:28:38 YAOGAN-31 E           90.5 15.0  ecl  1900 142.2  44.7

2023-11-07 11:21:45 YAOGAN-31 D           24.7 15.0  ecl  1900 142.2  44.7
2023-11-07 11:24:52 YAOGAN-31 D           55.3 19.4  ecl  1900 142.2  44.7
2023-11-07 11:28:00 YAOGAN-31 D           85.8 15.0  ecl  1900 142.2  44.7

2023-11-07 11:24:32 YAOGAN-30 AA         293.6 15.0  ecl  1900 142.2  44.7
2023-11-07 11:27:08 YAOGAN-30 AA         340.1 24.9  ecl  1900 142.2  44.7
2023-11-07 11:29:45 YAOGAN-30 AA          26.6 15.0  ecl  1900 142.2  44.7

2023-11-07 11:42:56 ZY-1 02E             333.0 15.0  ecl  1900 142.2  44.7
2023-11-07 11:45:59 ZY-1 02E             287.3 25.5  ecl  1900 142.2  44.7
2023-11-07 11:49:01 ZY-1 02E             241.5 15.0  ecl  1900 142.2  44.7

2023-11-07 12:10:53 YAOGAN-30 V          324.9 15.0  ecl  1900 142.2  44.7
2023-11-07 12:13:58 YAOGAN-30 V           23.1 32.6  ecl  1900 142.2  44.7
2023-11-07 12:17:02 YAOGAN-30 V           81.2 15.0  ecl  1900 142.2  44.7

2023-11-07 12:21:45 HAIYANG 1D           117.0 15.0  ecl  1900 142.2  44.7
2023-11-07 12:24:44 HAIYANG 1D            72.5 24.8  ecl  1900 142.2  44.7
2023-11-07 12:27:44 HAIYANG 1D            28.1 15.0  ecl  1900 142.2  44.7

2023-11-07 12:24:32 YAOGAN-30 K          338.8 15.0  ecl  1900 142.2  44.7
