Satellite passes / Orbitron 3.71 / www.stoff.pl

Location      : HN (105.5239° E, 20.9798° N)
Time zone     : UTC +7:00
Search period : 2023-11-06 08:18:48 - 1 days
                2023-11-07 08:18:48
Conditions    : Maximum sun elevation = None
                Minimum sat elevation = 15 deg
                Illumination NOT required

Time                Satellite              Azm  Elv  Mag Range S.Azm S.Elv
2023-11-07 18:17:55 YAOGAN-40 01B        157.8 15.0  ecl  1900 142.2  44.7
2023-11-07 18:22:19 YAOGAN-40 01B         88.2 47.9  ecl  1900 142.2  44.7
2023-11-07 18:26:44 YAOGAN-40 01B         18.8 15.0  ecl  1900 142.2  44.7

2023-11-07 18:18:26 HEAD-3B              216.3 15.0  ecl  1900 142.2  44.7
2023-11-07 18:22:32 HEAD-3B              135.3 68.2  ecl  1900 142.2  44.7
2023-11-07 18:26:39 HEAD-3B               54.5 15.0  ecl  1900 142.2  44.7

2023-11-07 18:25:15 HEAD-3D              223.1 15.0  ecl  1900 142.2  44.7
2023-11-07 18:29:22 HEAD-3D              136.2 82.8  ecl  1900 142.2  44.7
2023-11-07 18:33:31 HEAD-3D               49.4 15.0  ecl  1900 142.2  44.7

2023-11-07 18:36:02 YAOGAN-40 01C        176.7 15.0  ecl  1900 142.2  44.7
2023-11-07 18:40:29 YAOGAN-40 01C         90.2 82.0  ecl  1900 142.2  44.7
2023-11-07 18:44:53 YAOGAN-40 01C          3.9 15.0  ecl  1900 142.2  44.7

2023-11-07 19:12:53 HEAD-3E              257.8 15.0  ecl  1900 142.2  44.7
2023-11-07 19:16:35 HEAD-3E              321.4 38.6  ecl  1900 142.2  44.7
2023-11-07 19:20:17 HEAD-3E               25.2 15.0  ecl  1900 142.2  44.7

2023-11-07 19:14:10 HEAD-3C              256.4 15.0  ecl  1900 142.2  44.7
2023-11-07 19:17:55 HEAD-3C              321.2 39.9  ecl  1900 142.2  44.7
2023-11-07 19:21:41 HEAD-3C               26.1 15.0  ecl  1900 142.2  44.7

2023-11-07 19:19:17 YAOGAN-39 04C        346.1 15.0  ecl  1900 142.2  44.7
2023-11-07 19:20:58 YAOGAN-39 04C         18.9 19.2  ecl  1900 142.2  44.7
2023-11-07 19:22:39 YAOGAN-39 04C         51.6 15.0  ecl  1900 142.2  44.7

2023-11-07 19:19:28 HEAD-3A              257.7 15.0  ecl  1900 142.2  44.7
2023-11-07 19:23:12 HEAD-3A              321.4 38.7  ecl  1900 142.2  44.7
2023-11-07 19:26:56 HEAD-3A               25.2 15.0  ecl  1900 142.2  44.7

2023-11-07 19:23:05 YAOGAN-39 04B        343.8 15.0  ecl  1900 142.2  44.7
2023-11-07 19:24:54 YAOGAN-39 04B         19.4 20.1  ecl  1900 142.2  44.7
2023-11-07 19:26:43 YAOGAN-39 04B         54.9 15.0  ecl  1900 142.2  44.7

2023-11-07 19:29:50 YAOGAN-39 04A        340.1 15.0  ecl  1900 142.2  44.7
2023-11-07 19:31:51 YAOGAN-39 04A         20.2 21.7  ecl  1900 142.2  44.7
2023-11-07 19:33:52 YAOGAN-39 04A         60.4 15.0  ecl  1900 142.2  44.7

2023-11-07 20:04:24 HEAD-3B              296.4 15.0  ecl  1900 142.2  44.7
2023-11-07 20:06:31 HEAD-3B              327.4 19.1  ecl  1900 142.2  44.7
2023-11-07 20:08:39 HEAD-3B              358.3 15.0  ecl  1900 142.2  44.7

2023-11-07 20:12:02 HEAD-3D              309.7 15.0  ecl  1900 142.2  44.7
2023-11-07 20:13:23 HEAD-3D              328.8 16.5  ecl  1900 142.2  44.7
2023-11-07 20:14:43 HEAD-3D              347.9 15.0  ecl  1900 142.2  44.7

2023-11-07 20:57:52 YAOGAN-39 04C        300.5 15.0  ecl  1900 142.2  44.7
2023-11-07 21:01:00 YAOGAN-39 04C         30.6 89.2  ecl  1900 142.2  44.7
2023-11-07 21:04:08 YAOGAN-39 04C        120.5 15.0  ecl  1900 142.2  44.7

2023-11-07 21:01:48 YAOGAN-39 04B        298.7 15.0  ecl  1900 142.2  44.7
2023-11-07 21:04:56 YAOGAN-39 04B        210.9 84.8  ecl  1900 142.2  44.7
2023-11-07 21:08:04 YAOGAN-39 04B        123.0 15.0  ecl  1900 142.2  44.7

2023-11-07 21:08:45 YAOGAN-39 04A        295.4 15.0  ecl  1900 142.2  44.7
2023-11-07 21:11:52 YAOGAN-39 04A        211.5 74.4  ecl  1900 142.2  44.7
2023-11-07 21:15:01 YAOGAN-39 04A        127.5 15.0  ecl  1900 142.2  44.7

2023-11-07 21:13:57 YAOGAN-37            187.3 15.0  ecl  1900 142.2  44.7
2023-11-07 21:16:27 YAOGAN-37            135.0 28.2  ecl  1900 142.2  44.7
2023-11-07 21:18:58 YAOGAN-37             82.7 15.0  ecl  1900 142.2  44.7

2023-11-07 22:03:09 CBERS-4              173.4 15.0  ecl  1900 142.2  44.7
2023-11-07 22:07:24 CBERS-4              257.9 75.5  ecl  1900 142.2  44.7
2023-11-07 22:11:40 CBERS-4              342.6 15.0  ecl  1900 142.2  44.7

2023-11-07 22:09:58 HAIYANG 1C           189.5 15.0  ecl  1900 142.2  44.7
2023-11-07 22:13:58 HAIYANG 1C           259.4 47.2  ecl  1900 142.2  44.7
2023-11-07 22:17:59 HAIYANG 1C           329.5 15.0  ecl  1900 142.2  44.7

2023-11-07 22:16:35 T2V                  188.7 15.0  ecl  1900 142.2  44.7
2023-11-07 22:19:58 T2V                  259.7 47.8  ecl  1900 142.2  44.7
2023-11-07 22:23:21 T2V                  330.8 15.0  ecl  1900 142.2  44.7

2023-11-07 22:53:32 YAOGAN-37            275.0 15.0  ecl  1900 142.2  44.7
2023-11-07 22:55:58 YAOGAN-37            324.9 26.4  ecl  1900 142.2  44.7
2023-11-07 22:58:24 YAOGAN-37             14.9 15.0  ecl  1900 142.2  44.7

2023-11-07 23:14:44 GAOFEN 12 04          83.8 15.0  ecl  1900 142.2  44.7
2023-11-07 23:15:34 GAOFEN 12 04          97.2 15.7  ecl  1900 142.2  44.7
2023-11-07 23:16:23 GAOFEN 12 04         110.6 15.0  ecl  1900 142.2  44.7

2023-11-07 23:18:58 JILIN-01 KUANFU 02A  187.8 15.0  ecl  1900 142.2  44.7
2023-11-07 23:21:55 JILIN-01 KUANFU 02A  259.8 48.7  ecl  1900 142.2  44.7
2023-11-07 23:24:52 JILIN-01 KUANFU 02A  332.0 15.0  ecl  1900 142.2  44.7

2023-11-08 00:00:47 YAOGAN-33 03          43.8 15.0  ecl  1900 142.2  44.7
2023-11-08 00:04:00 YAOGAN-33 03          99.2 31.0  ecl  1900 142.2  44.7
2023-11-08 00:07:12 YAOGAN-33 03         154.5 15.0  ecl  1900 142.2  44.7

2023-11-08 00:46:00 HAIYANG 1D            57.3 15.0  ecl  1900 142.2  44.7
2023-11-08 00:48:50 HAIYANG 1D            98.5 22.9  ecl  1900 142.2  44.7
2023-11-08 00:51:38 HAIYANG 1D           139.6 15.0  ecl  1900 142.2  44.7

2023-11-08 00:49:02 GAOFEN 12 04         333.2 15.0  ecl  1900 142.2  44.7
2023-11-08 00:51:40 GAOFEN 12 04         285.8 25.9  ecl  1900 142.2  44.7
2023-11-08 00:54:18 GAOFEN 12 04         238.3 15.0  ecl  1900 142.2  44.7

2023-11-08 01:40:16 YAOGAN-33 03         303.1 15.0  ecl  1900 142.2  44.7
2023-11-08 01:41:15 YAOGAN-33 03         288.2 15.9  ecl  1900 142.2  44.7
